id,name,value,category,timestamp
1,Item Eta,1803.82,C,2025-01-12T21:18:20Z
2,Item Beta,4203.87,C,2025-01-04T01:14:51Z
3,Item Delta,4836.48,A,2025-01-26T19:55:15Z
4,Item Epsilon,3785.98,B,2025-01-25T19:30:07Z
5,Item Gamma,659.9,C,2025-01-14T23:16:15Z
6,Item Delta,614.14,A,2025-01-27T13:04:08Z
7,Item Eta,4639.75,C,2025-01-06T06:08:02Z
8,Item Zeta,116.22,C,2025-01-24T17:19:24Z
9,Item Eta,2610.74,B,2025-01-28T09:45:40Z
10,Item Zeta,262.19,B,2025-01-28T16:56:14Z
11,Item Zeta,3614.07,B,2025-01-29T10:38:43Z
12,Item Eta,460.28,B,2025-01-22T20:10:06Z
13,Item Zeta,2299.24,A,2025-01-01T20:16:40Z
14,Item Delta,3872.01,A,2025-01-22T17:15:40Z
15,Item Delta,1991.9,B,2025-01-01T05:52:03Z
16,Item Beta,2668.01,B,2025-01-13T17:47:29Z
17,Item Zeta,4172.64,B,2025-01-05T13:35:16Z
18,Item Delta,1349.92,B,2025-01-22T20:35:18Z
19,Item Theta,2379.13,C,2025-01-29T05:05:52Z
20,Item Zeta,1542.01,B,2025-01-23T08:17:27Z
21,Item Eta,4601.27,B,2025-01-07T16:44:57Z
22,Item Epsilon,1937.75,A,2025-01-05T07:16:51Z
23,Item Epsilon,4001.65,A,2025-01-09T02:29:35Z
24,Item Theta,2427.72,A,2025-01-25T10:34:36Z
25,Item Eta,1738.95,C,2025-01-14T03:10:50Z
26,Item Epsilon,3628.33,C,2025-01-15T10:27:06Z
27,Item Zeta,2147.12,C,2025-01-13T04:38:56Z
28,Item Delta,272.03,A,2025-01-09T23:11:15Z
29,Item Eta,4983.44,C,2025-01-27T07:20:36Z
30,Item Gamma,337.84,A,2025-01-05T22:18:34Z
31,Item Epsilon,740.08,C,2025-01-02T15:40:10Z
32,Item Beta,3717.65,B,2025-01-06T23:50:04Z
33,Item Beta,3675.39,C,2025-01-21T07:04:54Z
34,Item Delta,1780.5,C,2025-01-19T18:44:01Z
35,Item Gamma,2621.77,C,2025-01-14T09:12:24Z
36,Item Epsilon,1609.39,B,2025-01-20T02:50:52Z
37,Item Beta,2034.61,C,2025-01-14T23:41:42Z
38,Item Theta,1022.44,A,2025-01-10T22:45:36Z
39,Item Zeta,3299.21,B,2025-01-13T15:08:39Z
40,Item Delta,3562.08,A,2025-01-22T03:30:48Z
41,Item Beta,4317.95,B,2025-01-12T08:01:33Z
42,Item Gamma,4474.16,C,2025-01-30T21:38:29Z
43,Item Alpha,654.97,C,2025-01-02T14:54:22Z
44,Item Delta,4619.22,C,2025-01-08T08:17:36Z
45,Item Alpha,1831.1,A,2025-01-21T04:18:17Z
46,Item Theta,2332.46,C,2025-01-20T18:49:44Z
47,Item Eta,475.74,B,2025-01-16T22:16:20Z
48,Item Epsilon,1347.23,B,2025-01-10T22:54:06Z
49,Item Alpha,3848.97,A,2025-01-26T15:43:56Z
50,Item Gamma,2317.49,A,2025-01-05T02:34:08Z
51,Item Zeta,1681.59,A,2025-01-13T01:52:00Z
52,Item Theta,4607.38,C,2025-01-25T07:37:35Z
53,Item Delta,494.16,C,2025-01-13T07:37:27Z
54,Item Beta,1853.47,A,2025-01-16T10:42:41Z
55,Item Gamma,4979.79,C,2025-01-19T22:31:30Z
56,Item Epsilon,831.16,A,2025-01-19T13:38:44Z
57,Item Gamma,159.2,A,2025-01-09T08:23:37Z
58,Item Gamma,1437.11,B,2025-01-27T19:50:29Z
59,Item Eta,771.62,C,2025-01-24T10:28:48Z
60,Item Delta,2517.44,B,2025-01-27T16:47:28Z
61,Item Beta,4269.82,C,2025-01-16T10:30:20Z
62,Item Eta,431.38,A,2025-01-29T04:53:56Z
63,Item Zeta,4836.05,B,2025-01-05T17:54:30Z
64,Item Alpha,1068.46,B,2025-01-22T22:00:39Z
65,Item Gamma,2408.12,A,2025-01-05T09:20:24Z
66,Item Alpha,4053.69,B,2025-01-01T04:03:42Z
67,Item Zeta,4829.09,C,2025-01-06T14:04:49Z
68,Item Zeta,4418.17,A,2025-01-10T09:32:57Z
69,Item Delta,1228.61,C,2025-01-17T02:23:15Z
70,Item Zeta,1471.64,C,2025-01-18T15:48:45Z
71,Item Theta,325.81,B,2025-01-10T06:03:13Z
72,Item Gamma,4247.01,C,2025-01-12T12:15:50Z
73,Item Beta,4650.17,B,2025-01-07T11:57:28Z
74,Item Theta,3512.52,B,2025-01-09T07:38:11Z
75,Item Theta,3409.45,A,2025-01-11T11:30:52Z
76,Item Theta,1379.71,B,2025-01-11T06:51:26Z
77,Item Epsilon,1229.25,A,2025-01-28T05:58:27Z
78,Item Gamma,451.19,A,2025-01-29T09:03:46Z
79,Item Theta,1955.11,A,2025-01-18T09:32:36Z
80,Item Gamma,4425.09,C,2025-01-15T10:46:24Z
